<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20071126,000000,821.90,836.80,820.88,824.35,28722
20071127,000000,824.25,829.15,807.55,812.50,23776
20071128,000000,812.55,815.75,790.98,804.34,27115
20071129,000000,804.45,807.95,792.30,793.25,22470
20071130,000000,793.35,799.20,779.00,783.38,20899
20071202,000000,784.05,784.05,784.05,784.05,1
20071203,000000,784.00,794.30,776.95,794.13,20363
20071204,000000,794.10,805.32,786.54,801.40,20794
20071205,000000,801.35,806.75,791.15,795.40,20741
20071206,000000,795.25,805.55,784.95,802.15,22054
20071207,000000,802.18,805.30,791.22,794.55,19016
20071210,000000,794.40,811.97,794.05,807.88,16332
20071211,000000,807.95,813.48,795.80,796.55,17964
20071212,000000,796.50,817.10,796.10,813.50,21542
20071213,000000,813.45,813.85,792.20,797.25,21521
20071214,000000,797.40,803.40,787.70,794.40,20044
20071217,000000,794.05,798.80,785.13,793.05,16684
20071218,000000,793.10,806.40,790.20,802.53,17296
20071219,000000,802.40,804.60,797.70,802.13,14300
20071220,000000,802.30,802.98,793.20,796.25,14988
20071221,000000,796.20,812.35,795.50,811.35,13059
20071224,000000,810.95,815.50,808.05,811.73,7269
20071225,000000,811.70,812.00,805.00,806.35,97
20071226,000000,809.40,826.00,807.50,824.53,9125
20071227,000000,824.75,831.20,821.43,825.40,14526
20071228,000000,825.35,840.50,824.63,840.23,13688
20071231,000000,839.50,843.08,829.83,832.89,7961
20080101,000000,833.50,833.50,833.50,833.50,1
20080102,000000,834.98,861.25,834.25,857.35,17840
20080103,000000,857.60,869.38,853.23,864.72,22597
20080104,000000,864.80,868.85,854.30,859.25,19707
20080107,000000,859.75,864.88,855.13,857.80,19863
20080108,000000,857.85,881.10,856.75,877.74,21310
20080109,000000,877.70,891.20,871.79,878.79,26911
20080110,000000,878.90,895.05,866.18,892.95,26231
20080111,000000,893.05,898.08,887.15,895.05,25671
20080114,000000,895.25,914.23,891.20,903.78,25593
20080115,000000,903.85,914.30,887.25,888.15,24034
20080116,000000,888.25,899.70,874.60,877.25,31531
20080117,000000,877.20,890.20,874.98,877.45,25362
20080118,000000,877.50,888.50,869.85,882.85,25926
20080121,000000,882.75,883.40,860.75,864.95,11543
20080122,000000,865.00,894.60,849.35,892.20,33727
20080123,000000,892.25,895.98,876.63,890.40,30230
20080124,000000,890.60,913.10,889.00,912.70,24511
20080125,000000,912.55,923.55,905.90,913.61,26526
20080128,000000,913.60,929.55,910.70,928.80,21342
20080129,000000,928.75,933.03,919.75,923.65,20060
20080130,000000,923.70,936.85,915.90,929.40,18944
20080131,000000,929.35,929.95,918.20,926.03,23278
20080201,000000,925.80,936.78,903.35,904.60,20925
20080204,000000,905.93,912.68,891.90,903.32,21864
20080205,000000,903.40,906.90,884.20,888.30,24948
20080206,000000,888.20,907.48,886.03,900.45,24449
20080207,000000,900.50,911.28,896.00,910.40,24916
20080208,000000,910.50,922.50,907.45,922.20,20232
20080211,000000,922.03,927.18,915.85,923.15,20699
20080212,000000,923.05,924.80,902.70,906.47,20132
20080213,000000,906.35,910.85,896.30,906.18,23476
20080214,000000,906.10,913.85,901.65,908.03,18778
20080215,000000,908.10,915.50,897.65,902.15,17755
20080218,000000,901.80,907.60,900.13,905.05,8138
20080219,000000,905.35,930.55,905.00,927.60,19472
20080220,000000,927.55,945.71,913.20,944.10,24350
20080221,000000,944.20,953.85,937.75,945.50,27083
20080222,000000,945.60,949.85,935.50,944.80,23920
20080225,000000,946.30,952.00,932.95,939.33,21631
20080226,000000,939.30,950.20,926.45,947.93,23615
20080227,000000,948.00,965.05,947.80,957.88,24259
20080228,000000,958.00,972.45,953.15,970.75,23627
20080229,000000,970.70,976.18,964.38,973.60,22624
20080303,000000,973.80,989.38,973.15,983.70,19253
20080304,000000,983.63,988.03,956.48,963.78,26245
20080305,000000,963.90,992.95,959.20,989.45,27063
20080306,000000,989.40,992.30,964.83,978.65,29152
20080307,000000,978.75,988.70,969.65,972.55,24080
20080309,000000,972.40,972.40,972.40,972.40,1
20080310,000000,972.80,980.78,960.95,973.15,24964
20080311,000000,973.30,985.40,964.73,973.05,27533
20080312,000000,972.95,983.75,968.10,983.25,21771
20080313,000000,983.35,999.70,981.45,995.25,25993
20080314,000000,995.58,1007.00,990.58,1002.75,16781
20080316,000000,1002.25,1002.25,1002.25,1002.25,1
20080317,000000,1002.98,1032.60,994.00,1002.40,22454
20080318,000000,1002.53,1012.10,976.50,982.15,24950
20080319,000000,982.70,997.35,937.70,943.45,24972
20080320,000000,938.43,943.65,904.48,909.20,23274
20080321,000000,909.50,921.50,909.50,917.46,46
20080324,000000,915.50,926.84,906.28,915.15,19296
20080325,000000,915.03,938.83,911.70,938.20,24609
20080326,000000,938.65,954.85,934.45,954.15,22407
20080327,000000,954.20,954.93,940.32,947.40,21077
20080328,000000,947.33,950.93,923.10,931.20,19783
20080331,000000,930.35,940.85,912.43,916.10,22418
20080401,000000,916.20,920.90,872.10,882.30,26361
20080402,000000,882.22,906.03,881.10,904.28,28008
20080403,000000,904.23,908.85,887.95,903.28,24007
20080404,000000,902.98,914.60,899.27,913.55,19580
20080407,000000,912.85,929.35,910.65,919.55,21461
20080408,000000,919.63,925.68,907.75,914.63,21921
20080409,000000,914.53,935.55,902.75,933.80,22638
20080410,000000,933.95,939.65,921.83,928.63,24222
20080411,000000,928.65,932.08,917.30,924.85,21569
20080414,000000,925.25,931.90,914.10,923.93,22736
20080415,000000,923.90,936.33,922.78,927.80,19845
20080416,000000,927.79,949.03,924.40,944.40,20667
20080417,000000,944.47,952.80,937.28,938.55,20990
20080418,000000,938.58,946.55,904.63,916.30,20606
20080421,000000,916.00,928.68,911.05,916.78,22122
20080422,000000,916.58,925.40,911.63,915.75,22547
20080423,000000,916.05,922.78,896.90,904.18,21974
20080424,000000,903.83,907.00,883.13,885.95,22693
20080425,000000,886.00,896.40,877.70,886.05,23027
20080428,000000,886.00,895.78,886.00,893.20,20617
20080429,000000,893.01,893.58,868.55,870.28,20358
20080430,000000,870.33,878.63,862.38,877.43,26042
20080501,000000,877.10,881.70,847.30,852.58,26399
20080502,000000,852.65,859.20,845.05,855.98,23612
20080505,000000,856.05,874.38,854.88,874.13,18625
20080506,000000,874.05,882.83,871.18,876.18,20299
20080507,000000,876.13,881.12,863.59,868.70,23487
20080508,000000,868.72,885.47,865.35,881.68,25060
20080509,000000,881.72,889.60,870.35,884.45,22475
20080512,000000,884.55,889.75,877.78,882.47,24697
20080513,000000,882.53,885.58,860.75,866.95,20099
20080514,000000,866.84,870.95,859.60,864.11,23393
20080515,000000,864.20,887.65,862.10,881.90,22950
20080516,000000,881.85,904.80,880.13,902.25,24132
20080519,000000,902.15,913.80,900.68,905.14,20934
20080520,000000,905.19,923.40,902.70,919.13,21306
20080521,000000,919.15,932.65,916.22,932.50,22315
20080522,000000,932.45,935.25,917.33,921.50,26950
20080523,000000,921.43,929.18,914.95,924.60,20916
20080526,000000,925.05,929.10,923.45,928.88,5485
20080527,000000,928.20,930.75,904.15,905.85,20350
20080528,000000,905.78,909.83,889.28,900.85,23214
20080529,000000,900.93,903.45,873.43,877.70,25026
20080530,000000,877.63,889.08,870.53,886.40,22865
20080602,000000,886.50,897.40,881.05,891.13,23352
20080603,000000,891.05,896.75,875.25,880.13,22126
20080604,000000,880.28,886.68,876.03,878.90,23291
20080605,000000,878.68,880.05,864.85,877.15,21918
20080606,000000,877.38,902.15,877.28,901.93,23733
20080609,000000,901.85,909.15,890.90,892.58,27485
20080610,000000,892.53,894.93,864.10,866.70,28238
20080611,000000,866.63,882.85,866.53,880.25,24612
20080612,000000,880.33,882.20,857.35,868.13,25255
20080613,000000,868.30,874.30,859.50,871.15,24047
20080616,000000,870.80,894.60,866.55,882.03,21016
20080617,000000,882.05,888.50,874.13,882.20,24714
20080618,000000,882.27,895.65,880.33,894.45,22846
20080619,000000,894.30,908.65,886.72,897.68,24566
20080620,000000,898.00,907.75,895.83,901.73,22290
20080623,000000,901.40,907.35,875.55,883.48,16934
20080624,000000,883.63,894.10,882.63,889.38,21636
20080625,000000,889.34,890.72,873.50,885.95,23773
20080626,000000,885.88,918.10,884.78,916.78,23393
20080627,000000,916.97,930.72,910.25,927.40,25187
20080630,000000,927.55,935.30,918.45,925.35,23829
20080701,000000,925.30,945.95,921.93,939.60,24543
20080702,000000,939.70,945.55,931.65,945.25,25376
20080703,000000,945.15,946.75,926.80,934.18,21182
20080704,000000,934.15,936.33,929.03,933.90,5650
20080707,000000,932.36,933.35,915.03,925.78,23794
20080708,000000,925.70,933.13,912.47,919.63,25165
20080709,000000,919.35,928.90,915.88,928.53,22807
20080710,000000,928.35,947.75,925.47,947.18,23785
20080711,000000,947.05,967.78,941.50,963.80,26466
20080713,000000,963.70,963.70,963.70,963.70,1
20080714,000000,963.80,975.22,953.75,972.30,24911
20080715,000000,972.40,988.28,967.93,977.23,25738
20080716,000000,977.35,981.18,957.60,959.90,24995
20080717,000000,959.97,978.78,952.55,957.55,28960
20080718,000000,957.50,964.58,949.83,954.63,23814
20080721,000000,956.48,968.30,955.25,965.58,19723
20080722,000000,965.70,976.13,943.58,946.13,19251
20080723,000000,946.20,949.00,917.78,920.55,24170
20080724,000000,920.70,931.13,916.22,927.90,26471
20080725,000000,927.55,935.05,918.69,929.28,24745
20080728,000000,929.10,932.80,922.65,930.48,21000
20080729,000000,930.65,933.05,914.10,918.58,20202
