<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160502,010000,1290.37,1295.85,1289.90,1293.82,12696
20160502,050000,1293.85,1295.20,1291.24,1293.67,7737
20160502,090000,1293.69,1299.89,1290.93,1299.53,13359
20160502,130000,1299.48,1303.58,1291.13,1295.21,34296
20160502,170000,1295.56,1297.08,1288.64,1291.43,37025
20160502,210000,1291.39,1291.43,1287.47,1291.31,10945
20160503,010000,1291.11,1296.87,1289.38,1294.89,11219
20160503,050000,1294.88,1294.99,1289.15,1289.45,12225
20160503,090000,1289.46,1301.61,1289.23,1293.96,33001
20160503,130000,1293.88,1299.12,1291.31,1292.47,40481
20160503,170000,1292.48,1294.48,1282.14,1286.03,38471
20160503,210000,1286.03,1287.46,1284.67,1286.26,6913
20160504,010000,1285.12,1287.61,1280.67,1281.42,10748
20160504,050000,1281.40,1282.78,1278.73,1280.71,15947
20160504,090000,1280.81,1284.71,1276.09,1276.68,24024
20160504,130000,1276.68,1289.59,1275.36,1285.21,37751
20160504,170000,1285.21,1285.21,1271.65,1273.39,34654
20160504,210000,1273.39,1281.54,1272.39,1279.15,9009
20160505,010000,1279.03,1283.05,1277.27,1279.49,11907
20160505,050000,1279.50,1283.23,1279.40,1281.45,13203
20160505,090000,1281.46,1282.15,1274.29,1276.38,27400
20160505,130000,1276.41,1286.30,1275.10,1280.48,39766
20160505,170000,1280.49,1281.97,1268.72,1271.84,34929
20160505,210000,1271.85,1278.06,1271.27,1277.60,8472
20160506,010000,1277.35,1279.33,1274.30,1278.21,13188
20160506,050000,1278.21,1280.47,1275.46,1276.43,14752
20160506,090000,1276.42,1281.78,1275.91,1280.43,24634
20160506,130000,1280.40,1294.30,1276.84,1289.24,40523
20160506,170000,1289.24,1295.43,1284.71,1290.67,34858
20160506,210000,1290.68,1290.79,1286.37,1288.39,11168
20160509,010000,1284.33,1287.41,1283.45,1286.56,17962
20160509,050000,1286.55,1287.10,1278.81,1280.52,16913
20160509,090000,1280.49,1282.18,1274.55,1276.97,25454
20160509,130000,1277.01,1277.19,1262.76,1264.36,41338
20160509,170000,1264.38,1267.67,1262.03,1264.65,28931
20160509,210000,1264.63,1265.00,1261.19,1263.66,8740
20160510,010000,1263.95,1264.94,1259.23,1263.64,13052
20160510,050000,1263.62,1266.74,1262.82,1266.44,14320
20160510,090000,1266.46,1267.71,1263.89,1266.24,25745
20160510,130000,1266.24,1266.68,1261.01,1263.24,35008
20160510,170000,1263.24,1266.15,1256.73,1265.47,26369
20160510,210000,1265.39,1269.55,1264.47,1265.80,6359
20160511,010000,1265.54,1270.05,1264.65,1269.73,15387
20160511,050000,1269.75,1273.09,1269.10,1272.48,18117
20160511,090000,1272.49,1274.39,1270.34,1272.30,24545
20160511,130000,1272.29,1278.95,1272.05,1276.44,35384
20160511,170000,1276.49,1277.44,1270.13,1275.18,34080
20160511,210000,1275.18,1277.89,1274.69,1277.09,7769
20160512,010000,1277.42,1278.45,1273.59,1274.97,8561
20160512,050000,1274.97,1274.97,1270.45,1272.50,12417
20160512,090000,1272.50,1272.71,1266.29,1268.08,25973
20160512,130000,1268.11,1280.74,1265.41,1278.83,36660
20160512,170000,1278.79,1279.39,1266.19,1269.77,35888
20160512,210000,1269.83,1272.03,1261.37,1263.35,10619
20160513,010000,1263.09,1269.11,1262.90,1266.02,13266
20160513,050000,1266.02,1274.77,1265.93,1274.72,17360
20160513,090000,1274.75,1276.19,1272.81,1273.52,23871
20160513,130000,1273.54,1275.89,1263.72,1266.93,34403
20160513,170000,1266.68,1273.79,1262.79,1273.03,30092
20160513,210000,1273.03,1274.94,1271.53,1273.19,4178
20160516,010000,1271.58,1275.16,1270.88,1273.56,13485
20160516,050000,1273.55,1279.31,1273.41,1277.89,17882
20160516,090000,1277.84,1283.84,1277.70,1281.69,25759
20160516,130000,1281.68,1288.59,1280.80,1285.21,33527
20160516,170000,1285.21,1286.68,1270.73,1273.28,31068
20160516,210000,1273.23,1274.90,1271.29,1273.60,6812
20160517,010000,1273.17,1279.75,1272.98,1279.24,11776
20160517,050000,1279.24,1280.81,1276.59,1276.95,16834
20160517,090000,1276.92,1276.92,1268.97,1272.61,24887
20160517,130000,1272.62,1277.62,1269.06,1276.78,34951
20160517,170000,1276.79,1282.06,1273.99,1275.42,39037
20160517,210000,1275.43,1279.83,1274.33,1278.84,8788
20160518,010000,1278.86,1281.43,1276.50,1277.42,14060
20160518,050000,1277.44,1277.86,1272.90,1273.80,18746
20160518,090000,1273.80,1274.81,1270.06,1271.56,27257
20160518,130000,1271.58,1275.94,1266.40,1272.69,34036
20160518,170000,1272.72,1273.85,1268.55,1273.39,32691
20160518,210000,1273.40,1273.49,1254.94,1258.52,23419
20160519,010000,1257.67,1261.14,1254.92,1257.39,15096
20160519,050000,1257.34,1258.96,1252.30,1253.03,14571
20160519,090000,1253.00,1256.29,1252.19,1254.73,22182
20160519,130000,1254.76,1254.96,1243.64,1246.79,39261
20160519,170000,1246.74,1255.01,1245.62,1254.49,37384
20160519,210000,1254.50,1255.59,1253.18,1254.29,8268
20160520,010000,1254.74,1259.10,1254.33,1255.74,13482
20160520,050000,1255.63,1256.56,1252.47,1254.29,13015
20160520,090000,1254.28,1257.79,1252.33,1256.19,22821
20160520,130000,1256.19,1260.05,1253.01,1253.73,31920
20160520,170000,1253.65,1253.69,1248.68,1252.30,33818
20160520,210000,1252.31,1253.29,1251.32,1251.88,7684
20160523,010000,1250.86,1255.89,1248.73,1255.08,15044
20160523,050000,1255.18,1255.31,1249.83,1249.93,15263
20160523,090000,1250.01,1252.78,1249.35,1250.98,25867
20160523,130000,1250.99,1251.50,1243.00,1245.89,30892
20160523,170000,1245.81,1251.56,1244.72,1250.03,31469
20160523,210000,1250.00,1251.63,1248.52,1248.94,6387
20160524,010000,1248.60,1252.04,1245.55,1247.88,11592
20160524,050000,1247.87,1248.37,1243.86,1244.56,15232
20160524,090000,1244.68,1246.05,1241.65,1242.64,25788
20160524,130000,1242.63,1243.14,1235.29,1236.35,33074
20160524,170000,1236.11,1237.32,1228.11,1229.22,35169
20160524,210000,1229.24,1229.57,1226.14,1226.97,11084
20160525,010000,1226.86,1230.05,1223.19,1229.58,14990
20160525,050000,1229.57,1229.66,1223.53,1225.22,15234
20160525,090000,1225.22,1225.65,1220.38,1221.00,23719
20160525,130000,1221.00,1225.63,1217.67,1219.07,28257
20160525,170000,1219.08,1224.87,1217.88,1224.11,30824
20160525,210000,1224.20,1225.05,1223.38,1224.14,5885
20160526,010000,1223.27,1234.18,1220.47,1231.28,15160
20160526,050000,1231.28,1232.52,1228.57,1229.77,18624
20160526,090000,1229.78,1229.98,1225.55,1227.38,18776
20160526,130000,1227.40,1231.99,1223.40,1226.32,28357
20160526,170000,1226.39,1226.95,1218.20,1220.20,21923
20160526,210000,1220.08,1221.26,1219.00,1219.49,4114
20160527,010000,1219.55,1222.95,1219.05,1219.37,9345
20160527,050000,1219.40,1222.39,1211.43,1220.19,12451
20160527,090000,1220.29,1223.42,1217.47,1218.46,18160
20160527,130000,1218.50,1221.82,1214.62,1215.75,25199
20160527,170000,1215.75,1216.86,1209.97,1212.34,33044
20160527,210000,1212.34,1212.63,1206.61,1212.63,10999
20160530,010000,1212.64,1213.28,1199.77,1202.41,15198
20160530,050000,1202.39,1204.53,1200.61,1203.13,10028
20160530,090000,1203.10,1206.13,1199.55,1205.34,12443
20160530,130000,1205.36,1210.70,1205.35,1208.22,14775
20160530,170000,1208.22,1208.74,1205.77,1206.06,8609
20160531,010000,1205.63,1213.55,1205.31,1212.51,13926
20160531,050000,1212.59,1214.37,1210.95,1213.10,19044
20160531,090000,1213.07,1213.49,1209.53,1211.69,21981
20160531,130000,1211.69,1213.56,1208.22,1212.48,30821
20160531,170000,1212.52,1216.82,1212.00,1216.81,36655
20160531,210000,1216.81,1218.09,1214.19,1215.10,10112
20160601,010000,1214.59,1219.78,1214.59,1218.79,12842
20160601,050000,1218.77,1219.18,1212.74,1215.25,19485
20160601,090000,1215.24,1217.79,1213.75,1215.51,24457
20160601,130000,1215.53,1220.29,1213.42,1215.38,27566
20160601,170000,1215.38,1215.38,1205.88,1210.84,18533
20160601,210000,1210.82,1213.61,1209.56,1212.54,4571
20160602,010000,1213.33,1215.11,1211.08,1213.49,14392
20160602,050000,1213.46,1215.91,1213.20,1214.67,17355
20160602,090000,1214.68,1217.49,1213.68,1215.16,20045
20160602,130000,1215.15,1217.53,1210.55,1212.84,32855
20160602,170000,1212.85,1213.89,1209.72,1211.13,26366
20160602,210000,1211.10,1211.62,1210.25,1210.68,6154
20160603,010000,1210.62,1211.36,1206.81,1210.93,14774
20160603,050000,1210.93,1213.34,1209.98,1211.23,17783
20160603,090000,1211.23,1212.83,1210.41,1211.44,19523
20160603,130000,1211.39,1240.91,1211.05,1239.30,33568
20160603,170000,1239.81,1243.02,1238.15,1240.72,33935
20160603,210000,1240.72,1244.61,1240.15,1244.58,7698
20160606,010000,1242.68,1248.60,1241.69,1241.89,16566
20160606,050000,1241.86,1243.39,1240.52,1241.47,15832
20160606,090000,1241.50,1242.16,1239.92,1240.21,21507
20160606,130000,1240.21,1245.71,1240.10,1244.17,24329
20160606,170000,1244.14,1247.35,1239.87,1243.75,36788
20160606,210000,1243.75,1246.15,1243.13,1244.98,9309
20160607,010000,1244.98,1246.48,1243.13,1243.93,10140
20160607,050000,1243.92,1244.67,1241.94,1241.96,13114
20160607,090000,1241.91,1244.04,1240.29,1241.29,20909
20160607,130000,1241.29,1242.11,1234.67,1240.93,26243
20160607,170000,1240.88,1244.80,1239.84,1244.74,23979
20160607,210000,1244.80,1245.83,1242.88,1243.63,7664
20160608,010000,1243.83,1248.01,1242.91,1247.67,11171
20160608,050000,1247.72,1249.68,1246.69,1248.90,14789
20160608,090000,1248.94,1253.35,1248.69,1252.40,19679
20160608,130000,1252.40,1264.26,1252.11,1262.79,33206
20160608,170000,1262.80,1263.01,1258.48,1261.44,28772
20160608,210000,1261.37,1262.52,1259.39,1261.76,6666
20160609,010000,1261.83,1266.20,1260.43,1261.78,10426
20160609,050000,1261.86,1263.51,1260.70,1261.06,12118
20160609,090000,1261.08,1262.45,1257.77,1258.74,22120
20160609,130000,1258.71,1264.70,1256.70,1264.14,30004
20160609,170000,1264.14,1271.57,1263.02,1269.26,29537
20160609,210000,1269.36,1270.22,1268.51,1269.07,3888
20160610,010000,1268.10,1269.48,1265.28,1267.47,10295
20160610,050000,1267.46,1267.88,1264.44,1265.29,9591
20160610,090000,1265.30,1269.70,1264.63,1268.19,22926
20160610,130000,1268.17,1275.58,1265.75,1275.23,29546
20160610,170000,1275.23,1278.02,1268.39,1274.56,23060
20160610,210000,1274.56,1276.86,1273.24,1273.79,9181
20160613,010000,1275.18,1278.24,1272.28,1274.36,17281
20160613,050000,1274.36,1283.29,1273.24,1282.54,22140
20160613,090000,1282.58,1284.74,1279.53,1283.81,25095
20160613,130000,1283.82,1287.04,1279.46,1281.42,35809
20160613,170000,1281.45,1285.31,1277.44,1282.04,33423
20160613,210000,1282.04,1284.50,1281.15,1283.42,7501
20160614,010000,1282.33,1283.44,1280.65,1282.43,11055
20160614,050000,1282.43,1283.14,1279.29,1279.49,13667
20160614,090000,1279.45,1280.96,1276.24,1278.87,31003
20160614,130000,1278.86,1289.73,1278.61,1286.24,34128
20160614,170000,1286.19,1288.22,1280.18,1286.14,18803
20160614,210000,1286.15,1286.24,1284.56,1285.52,4583
20160615,010000,1284.09,1286.01,1282.20,1283.24,8537
20160615,050000,1283.20,1285.94,1282.21,1285.54,11464
20160615,090000,1285.55,1286.90,1280.67,1282.11,23549
20160615,130000,1282.12,1284.78,1278.34,1283.73,30645
20160615,170000,1283.73,1287.90,1281.46,1284.25,22545
