<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20171019,030000,1280.19,1281.57,1280.13,1281.05,4963
20171019,040000,1281.06,1281.81,1278.23,1278.23,5014
20171019,050000,1278.23,1278.67,1276.33,1277.36,4394
20171019,060000,1277.45,1278.50,1277.27,1278.49,2919
20171019,070000,1278.48,1278.99,1277.29,1277.59,3820
20171019,080000,1277.56,1277.80,1276.56,1277.70,3747
20171019,090000,1277.73,1281.57,1277.32,1281.22,4996
20171019,100000,1281.22,1285.50,1280.02,1284.98,7300
20171019,110000,1285.00,1286.11,1282.40,1283.95,10114
20171019,120000,1283.96,1284.87,1282.96,1284.57,5056
20171019,130000,1284.57,1287.65,1284.26,1285.74,6489
20171019,140000,1285.74,1287.20,1285.44,1286.58,5780
20171019,150000,1286.57,1289.44,1284.02,1284.51,7727
20171019,160000,1284.50,1288.11,1284.30,1287.09,9187
20171019,170000,1287.09,1289.58,1285.62,1287.55,9097
20171019,180000,1287.53,1289.89,1287.24,1287.49,7062
20171019,190000,1287.51,1288.30,1286.41,1287.52,6056
20171019,200000,1287.58,1288.56,1286.48,1287.88,4008
20171019,210000,1287.89,1287.97,1285.68,1286.07,4058
20171019,220000,1286.08,1289.30,1285.37,1288.15,4298
20171019,230000,1288.16,1290.52,1287.23,1289.43,3098
20171020,010000,1289.93,1290.62,1289.07,1289.90,679
20171020,020000,1289.87,1290.93,1289.50,1289.93,2585
20171020,030000,1289.92,1290.46,1288.58,1289.22,3187
20171020,040000,1289.19,1289.92,1284.27,1284.39,6416
20171020,050000,1284.39,1285.65,1282.48,1283.51,7867
20171020,060000,1283.49,1284.69,1283.10,1284.41,3124
20171020,070000,1284.40,1284.70,1283.09,1283.11,2810
20171020,080000,1283.11,1283.96,1282.71,1283.64,3403
20171020,090000,1283.57,1284.30,1282.03,1283.83,5567
20171020,100000,1283.81,1285.12,1279.93,1280.93,6582
20171020,110000,1280.96,1281.31,1279.04,1281.14,5898
20171020,120000,1281.14,1281.18,1279.79,1280.55,3932
