<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200227,180000,17.868,17.888,17.771,17.818,7764
20200227,190000,17.819,17.828,17.683,17.739,6971
20200227,200000,17.736,17.765,17.682,17.722,6474
20200227,210000,17.723,17.763,17.681,17.716,4760
20200227,220000,17.716,17.739,17.625,17.633,4347
20200227,230000,17.628,17.767,17.603,17.759,2111
20200228,010000,17.730,17.844,17.708,17.777,2758
20200228,020000,17.776,17.838,17.727,17.818,2416
20200228,030000,17.818,17.852,17.479,17.614,10251
20200228,040000,17.617,17.655,17.558,17.575,4228
20200228,050000,17.576,17.577,17.472,17.472,4739
20200228,060000,17.476,17.531,17.449,17.507,3778
20200228,070000,17.505,17.555,17.038,17.149,7723
20200228,080000,17.151,17.276,17.030,17.199,8255
20200228,090000,17.199,17.245,17.087,17.234,5410
20200228,100000,17.234,17.383,17.203,17.246,7437
20200228,110000,17.245,17.269,17.177,17.208,5713
20200228,120000,17.207,17.256,17.184,17.228,4181
20200228,130000,17.228,17.270,17.186,17.212,3729
20200228,140000,17.211,17.213,17.027,17.079,6776
20200228,150000,17.080,17.216,17.055,17.131,7858
20200228,160000,17.131,17.135,16.818,16.820,10295
20200228,170000,16.820,16.833,16.549,16.667,13553
20200228,180000,16.668,16.812,16.626,16.756,9566
20200228,190000,16.755,16.794,16.615,16.646,6239
20200228,200000,16.645,16.645,16.383,16.506,7519
20200228,210000,16.504,16.713,16.377,16.560,7323
20200228,220000,16.563,16.622,16.509,16.604,4253
20200228,230000,16.606,16.682,16.562,16.654,1149
20200302,010000,16.452,16.570,16.419,16.542,3651
20200302,020000,16.544,16.829,16.514,16.824,4143
20200302,030000,16.822,16.943,16.756,16.861,12526
20200302,040000,16.862,16.914,16.846,16.902,7076
20200302,050000,16.903,16.999,16.867,16.945,5079
20200302,060000,16.944,17.001,16.930,16.953,2933
20200302,070000,16.954,17.044,16.932,16.987,4147
20200302,080000,16.988,17.026,16.908,16.935,4770
20200302,090000,16.936,16.970,16.860,16.889,5346
20200302,100000,16.888,17.024,16.884,16.995,5760
20200302,110000,16.994,17.015,16.937,16.942,4935
20200302,120000,16.940,16.970,16.892,16.912,3674
20200302,130000,16.911,16.929,16.712,16.756,4900
20200302,140000,16.760,16.897,16.758,16.777,5172
20200302,150000,16.779,16.795,16.634,16.713,7900
20200302,160000,16.711,16.773,16.658,16.713,8615
20200302,170000,16.714,16.732,16.631,16.703,8317
20200302,180000,16.704,16.789,16.693,16.774,6053
20200302,190000,16.776,16.814,16.726,16.766,4131
20200302,200000,16.765,16.781,16.689,16.721,4117
20200302,210000,16.722,16.805,16.722,16.744,2346
20200302,220000,16.745,16.769,16.648,16.651,2811
20200302,230000,16.652,16.751,16.651,16.713,1113
20200303,010000,16.680,16.847,16.680,16.801,1581
20200303,020000,16.803,16.838,16.752,16.827,1668
20200303,030000,16.827,16.982,16.827,16.928,7264
20200303,040000,16.926,16.958,16.903,16.923,2751
20200303,050000,16.922,16.936,16.884,16.901,1911
20200303,060000,16.898,16.926,16.876,16.911,1533
20200303,070000,16.912,16.916,16.858,16.868,1945
20200303,080000,16.870,16.884,16.742,16.773,4220
20200303,090000,16.772,16.801,16.755,16.763,2675
20200303,100000,16.760,16.778,16.737,16.751,3016
20200303,110000,16.749,16.797,16.746,16.793,2042
20200303,120000,16.793,16.841,16.776,16.795,1951
20200303,130000,16.794,16.845,16.780,16.790,2629
20200303,140000,16.789,16.848,16.781,16.822,4288
20200303,150000,16.822,16.830,16.770,16.817,4100
20200303,160000,16.816,16.893,16.798,16.886,4241
20200303,170000,16.885,17.457,16.885,17.258,16787
20200303,180000,17.256,17.362,17.088,17.231,11479
20200303,190000,17.229,17.260,17.167,17.190,7018
20200303,200000,17.189,17.274,17.159,17.248,6131
20200303,210000,17.249,17.261,17.014,17.015,7750
20200303,220000,17.016,17.151,17.014,17.140,5103
20200303,230000,17.141,17.209,17.124,17.203,1117
20200304,010000,17.174,17.321,17.172,17.246,2250
20200304,020000,17.244,17.262,17.208,17.258,2461
20200304,030000,17.258,17.312,17.156,17.211,7734
20200304,040000,17.212,17.252,17.189,17.243,3906
20200304,050000,17.240,17.253,17.182,17.198,2388
20200304,060000,17.198,17.245,17.190,17.231,1000
20200304,070000,17.230,17.320,17.217,17.258,3353
20200304,080000,17.259,17.273,17.195,17.241,3232
20200304,090000,17.241,17.241,17.119,17.141,4382
20200304,100000,17.138,17.208,17.132,17.179,3784
20200304,110000,17.175,17.269,17.172,17.248,3144
20200304,120000,17.247,17.278,17.202,17.220,3139
20200304,130000,17.217,17.242,17.192,17.236,2579
20200304,140000,17.236,17.274,17.211,17.221,4065
20200304,150000,17.221,17.228,17.122,17.132,6201
20200304,160000,17.133,17.186,17.078,17.134,5942
20200304,170000,17.107,17.168,17.067,17.153,7437
20200304,180000,17.152,17.169,17.103,17.130,5245
20200304,190000,17.131,17.217,17.124,17.217,3244
20200304,200000,17.217,17.245,17.194,17.202,3229
20200304,210000,17.201,17.239,17.192,17.227,2632
20200304,220000,17.226,17.237,17.197,17.230,2168
20200304,230000,17.232,17.232,17.189,17.196,827
20200305,010000,17.203,17.219,17.159,17.163,1481
20200305,020000,17.164,17.219,17.162,17.218,1898
20200305,030000,17.217,17.247,17.132,17.157,4479
20200305,040000,17.158,17.225,17.156,17.195,2333
20200305,050000,17.194,17.208,17.190,17.201,1092
20200305,060000,17.201,17.207,17.191,17.196,610
20200305,070000,17.196,17.209,17.165,17.165,1518
20200305,080000,17.165,17.216,17.159,17.213,1900
20200305,090000,17.213,17.227,17.140,17.145,2013
20200305,100000,17.143,17.181,17.141,17.171,2157
20200305,110000,17.171,17.203,17.169,17.192,2844
20200305,120000,17.192,17.231,17.188,17.223,2687
20200305,130000,17.223,17.232,17.194,17.205,2227
20200305,140000,17.206,17.413,17.176,17.348,5482
20200305,150000,17.347,17.365,17.221,17.260,5701
20200305,160000,17.260,17.323,17.233,17.301,8078
20200305,170000,17.300,17.336,17.253,17.297,6098
20200305,180000,17.296,17.336,17.258,17.326,4770
20200305,190000,17.328,17.392,17.293,17.390,4381
20200305,200000,17.391,17.403,17.347,17.364,3757
20200305,210000,17.364,17.428,17.361,17.419,2913
20200305,220000,17.420,17.447,17.406,17.440,3796
20200305,230000,17.440,17.444,17.395,17.410,1229
20200306,010000,17.419,17.480,17.407,17.477,1319
20200306,020000,17.477,17.518,17.442,17.486,1989
20200306,030000,17.479,17.502,17.291,17.349,7679
20200306,040000,17.350,17.364,17.299,17.333,3923
20200306,050000,17.334,17.346,17.298,17.306,2471
20200306,060000,17.306,17.396,17.298,17.375,2451
20200306,070000,17.373,17.404,17.346,17.378,3778
20200306,080000,17.379,17.384,17.278,17.335,4734
20200306,090000,17.333,17.342,17.273,17.331,4562
20200306,100000,17.332,17.366,17.290,17.354,4925
20200306,110000,17.352,17.410,17.318,17.378,4105
20200306,120000,17.376,17.469,17.363,17.381,5136
20200306,130000,17.382,17.561,17.375,17.468,4191
20200306,140000,17.469,17.500,17.407,17.495,3795
20200306,150000,17.495,17.513,17.198,17.277,8554
20200306,160000,17.276,17.432,17.273,17.351,9677
20200306,170000,17.348,17.364,17.031,17.204,13671
20200306,180000,17.203,17.206,17.105,17.136,8141
20200306,190000,17.137,17.186,17.127,17.171,4527
20200306,200000,17.170,17.295,17.153,17.265,4649
20200306,210000,17.265,17.376,17.261,17.368,3849
20200306,220000,17.368,17.403,17.235,17.314,5517
20200306,230000,17.313,17.338,17.272,17.327,677
20200309,000000,17.454,17.586,17.403,17.541,1734
20200309,010000,17.540,17.542,17.432,17.484,1810
20200309,020000,17.484,17.498,17.188,17.354,4124
20200309,030000,17.355,17.406,17.191,17.264,10108
20200309,040000,17.263,17.265,17.139,17.187,4671
20200309,050000,17.188,17.190,17.033,17.106,5587
20200309,060000,17.105,17.105,16.765,16.811,4953
20200309,070000,16.815,16.956,16.578,16.604,8279
20200309,080000,16.605,16.807,16.546,16.708,6705
20200309,090000,16.707,16.922,16.676,16.914,6023
20200309,100000,16.915,17.026,16.814,16.961,3439
20200309,110000,16.961,16.961,16.695,16.843,2643
20200309,120000,16.843,17.005,16.774,16.949,2074
20200309,130000,16.953,17.038,16.890,16.946,2280
20200309,140000,16.946,16.946,16.743,16.818,6620
20200309,150000,16.818,16.921,16.736,16.772,8806
20200309,160000,16.776,16.948,16.742,16.904,7586
20200309,170000,16.904,16.944,16.843,16.882,5877
20200309,180000,16.881,16.954,16.860,16.952,5369
20200309,190000,16.953,17.082,16.920,16.975,5157
20200309,200000,16.978,17.013,16.947,16.975,3233
20200309,210000,16.976,17.022,16.909,16.976,2808
20200309,220000,16.977,17.012,16.958,16.988,1178
20200310,000000,16.984,17.022,16.859,16.904,1099
20200310,010000,16.902,16.923,16.863,16.908,1713
20200310,020000,16.904,16.931,16.859,16.872,2662
20200310,030000,16.870,17.123,16.805,17.058,7192
20200310,040000,17.057,17.078,17.002,17.033,4000
20200310,050000,17.033,17.088,17.022,17.075,2061
20200310,060000,17.076,17.085,17.020,17.032,1068
20200310,070000,17.033,17.049,16.928,16.991,4912
20200310,080000,16.991,17.125,16.969,17.051,5306
20200310,090000,17.052,17.157,17.043,17.067,3262
20200310,100000,17.068,17.148,17.061,17.124,3455
20200310,110000,17.123,17.184,17.064,17.067,2613
20200310,120000,17.069,17.110,17.029,17.103,2750
20200310,130000,17.102,17.122,17.043,17.051,2066
20200310,140000,17.050,17.115,16.975,17.049,5435
20200310,150000,17.049,17.074,16.882,16.902,5447
20200310,160000,16.902,16.956,16.870,16.870,6595
20200310,170000,16.871,16.904,16.791,16.831,6489
20200310,180000,16.830,16.921,16.825,16.879,5305
20200310,190000,16.877,16.958,16.847,16.914,4501
20200310,200000,16.913,16.954,16.892,16.950,2928
20200310,210000,16.949,16.949,16.844,16.846,3302
20200310,220000,16.844,16.914,16.844,16.869,865
20200311,000000,16.871,16.944,16.844,16.938,940
20200311,010000,16.935,16.998,16.907,16.959,1199
20200311,020000,16.958,17.028,16.954,17.009,2090
20200311,030000,17.015,17.068,16.994,17.048,5655
20200311,040000,17.049,17.098,17.028,17.058,2750
20200311,050000,17.059,17.087,17.039,17.053,1849
20200311,060000,17.054,17.089,17.048,17.057,1247
20200311,070000,17.058,17.067,16.989,17.001,3094
20200311,080000,17.001,17.050,16.977,17.030,3467
20200311,090000,17.030,17.076,16.991,17.007,2140
20200311,100000,17.004,17.042,16.959,16.965,2286
20200311,110000,16.963,17.005,16.957,16.995,1773
20200311,120000,16.995,17.077,16.990,17.069,1894
20200311,130000,17.069,17.093,16.994,17.001,2479
20200311,140000,17.002,17.029,16.907,16.918,5285
20200311,150000,16.919,16.981,16.885,16.965,5336
20200311,160000,16.964,16.965,16.868,16.888,5819
20200311,170000,16.888,16.896,16.826,16.861,5978
20200311,180000,16.860,16.868,16.773,16.775,3321
20200311,190000,16.771,16.826,16.756,16.804,3846
20200311,200000,16.804,16.807,16.720,16.732,2925
20200311,210000,16.730,16.757,16.658,16.730,4306
20200311,220000,16.730,16.761,16.721,16.738,925
20200312,000000,16.712,16.811,16.712,16.747,1246
20200312,010000,16.749,16.793,16.744,16.793,1099
20200312,020000,16.792,16.899,16.762,16.886,1851
20200312,030000,16.887,16.908,16.540,16.581,11182
20200312,040000,16.578,16.627,16.539,16.564,5941
20200312,050000,16.564,16.576,16.437,16.553,4586
20200312,060000,16.552,16.606,16.541,16.587,1570
20200312,070000,16.586,16.599,16.492,16.599,3561
20200312,080000,16.598,16.634,16.543,16.593,3286
20200312,090000,16.594,16.743,16.582,16.692,1997
20200312,100000,16.690,16.742,16.643,16.700,2605
20200312,110000,16.699,16.723,16.614,16.651,2207
20200312,120000,16.651,16.700,16.640,16.644,2539
20200312,130000,16.643,16.659,16.500,16.503,2951
20200312,140000,16.504,16.507,15.972,16.051,9671
20200312,150000,16.053,16.122,15.895,16.007,9245
20200312,160000,16.008,16.011,15.806,15.928,11052
20200312,170000,15.925,15.926,15.517,15.555,9278
20200312,180000,15.556,16.071,15.505,16.012,8647
20200312,190000,16.012,16.190,15.929,16.051,12193
20200312,200000,16.053,16.053,15.786,15.789,5512
20200312,210000,15.790,15.843,15.618,15.650,5436
20200312,220000,15.651,15.825,15.633,15.789,2569
20200313,000000,15.808,15.830,15.718,15.770,1457
20200313,010000,15.770,15.788,15.658,15.693,1960
20200313,020000,15.693,15.774,15.669,15.715,2088
20200313,030000,15.710,15.710,15.398,15.422,6177
20200313,040000,15.424,15.487,15.309,15.472,2618
20200313,050000,15.473,15.483,15.420,15.449,1512
20200313,060000,15.450,15.672,15.436,15.667,2730
20200313,070000,15.666,15.851,15.643,15.665,4508
