<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20091221,000000,1.43110,1.43470,1.43110,1.43420,5504
20091221,040000,1.43420,1.43570,1.43270,1.43340,5234
20091221,080000,1.43340,1.43420,1.42800,1.43370,8366
20091221,120000,1.43370,1.43710,1.43300,1.43330,8456
20091221,160000,1.43320,1.43350,1.42860,1.42940,8488
20091221,200000,1.42940,1.42960,1.42650,1.42740,4838
20091222,000000,1.42730,1.42950,1.42680,1.42930,5988
20091222,040000,1.42940,1.42990,1.42870,1.42930,4710
20091222,080000,1.42930,1.43300,1.42900,1.43070,10671
20091222,120000,1.43080,1.43150,1.42690,1.42810,10845
20091222,160000,1.42810,1.42850,1.42180,1.42700,10127
20091222,200000,1.42700,1.42720,1.42370,1.42540,4168
20091223,000000,1.42530,1.42740,1.42480,1.42530,2898
20091223,040000,1.42520,1.42600,1.42430,1.42530,4113
20091223,080000,1.42540,1.42670,1.42340,1.42550,8597
20091223,120000,1.42550,1.43010,1.42480,1.42760,9518
20091223,160000,1.42770,1.43650,1.42770,1.43470,10123
20091223,200000,1.43480,1.43540,1.43230,1.43290,3792
20091224,000000,1.43270,1.43550,1.43270,1.43510,3554
20091224,040000,1.43520,1.43580,1.43320,1.43580,3403
20091224,080000,1.43580,1.44160,1.43480,1.44050,7042
20091224,120000,1.44050,1.44160,1.43600,1.43650,6870
20091224,160000,1.43640,1.43770,1.43530,1.43530,3616
20091228,000000,1.43710,1.43950,1.43540,1.43940,4284
20091228,040000,1.43940,1.43950,1.43740,1.43880,4070
20091228,080000,1.43880,1.43980,1.43740,1.43930,6543
20091228,120000,1.43930,1.44120,1.43930,1.43930,6261
20091228,160000,1.43940,1.43990,1.43820,1.43900,4930
20091228,200000,1.43890,1.43890,1.43710,1.43710,2979
20091229,000000,1.43710,1.43780,1.43550,1.43580,4433
20091229,040000,1.43580,1.43850,1.43530,1.43800,4343
20091229,080000,1.43800,1.44350,1.43800,1.44160,9474
20091229,120000,1.44160,1.44560,1.44120,1.44250,9037
20091229,160000,1.44250,1.44280,1.43310,1.43590,9562
20091229,200000,1.43590,1.43590,1.43360,1.43500,4134
20091230,000000,1.43500,1.43560,1.43060,1.43110,5508
20091230,040000,1.43100,1.43450,1.43070,1.43380,5222
20091230,080000,1.43390,1.43590,1.43350,1.43560,7900
20091230,120000,1.43560,1.43580,1.42890,1.42970,10449
20091230,160000,1.42970,1.43560,1.42720,1.43350,9575
20091230,200000,1.43360,1.43420,1.43250,1.43350,3336
20091231,000000,1.43360,1.43710,1.43360,1.43680,4097
20091231,040000,1.43680,1.44390,1.43630,1.44390,4916
20091231,080000,1.44380,1.44380,1.43910,1.44040,8392
20091231,120000,1.44030,1.44190,1.43640,1.43690,9259
20091231,160000,1.43680,1.43680,1.43060,1.43310,7439
20100104,000000,1.43240,1.43330,1.42570,1.42950,7838
20100104,040000,1.42940,1.43080,1.42720,1.42940,5752
20100104,080000,1.42950,1.43990,1.42690,1.43750,11890
20100104,120000,1.43750,1.44490,1.43750,1.44230,11614
20100104,160000,1.44240,1.44540,1.44030,1.44120,10249
20100104,200000,1.44120,1.44260,1.44030,1.44120,5114
20100105,000000,1.44110,1.44380,1.44060,1.44140,6405
20100105,040000,1.44140,1.44750,1.44120,1.44750,7842
20100105,080000,1.44760,1.44830,1.44050,1.44180,12040
20100105,120000,1.44170,1.44530,1.43870,1.44040,11739
20100105,160000,1.44030,1.44320,1.43460,1.43620,11323
20100105,200000,1.43620,1.43720,1.43490,1.43610,4655
20100106,000000,1.43610,1.43690,1.43340,1.43560,7245
20100106,040000,1.43560,1.43620,1.42900,1.43100,5993
20100106,080000,1.43100,1.43810,1.42830,1.43740,11740
20100106,120000,1.43750,1.43780,1.43360,1.43530,10313
20100106,160000,1.43530,1.44150,1.43520,1.43960,10716
20100106,200000,1.43960,1.44320,1.43920,1.43990,6956
20100107,000000,1.43990,1.44440,1.43930,1.44020,6887
20100107,040000,1.44030,1.44150,1.43580,1.43670,6989
20100107,080000,1.43670,1.43980,1.43390,1.43500,10922
20100107,120000,1.43490,1.43500,1.42990,1.43180,12223
20100107,160000,1.43170,1.43320,1.43040,1.43080,9776
20100107,200000,1.43080,1.43260,1.43040,1.43040,5553
20100108,000000,1.43040,1.43260,1.43010,1.43080,6133
20100108,040000,1.43080,1.43170,1.42870,1.43100,5637
20100108,080000,1.43110,1.43340,1.42970,1.43030,8454
20100108,120000,1.43020,1.44140,1.42640,1.43550,13645
20100108,160000,1.43550,1.44380,1.43010,1.44230,12558
20100108,200000,1.44230,1.44240,1.44030,1.44080,4492
20100111,000000,1.44110,1.45080,1.44110,1.45080,8328
20100111,040000,1.45080,1.45310,1.44880,1.44880,7653
20100111,080000,1.44880,1.45340,1.44790,1.45250,10752
20100111,120000,1.45250,1.45440,1.44950,1.45130,10491
20100111,160000,1.45130,1.45540,1.45010,1.45290,11116
20100111,200000,1.45290,1.45410,1.45010,1.45130,4948
20100112,000000,1.45130,1.45170,1.44540,1.44890,7827
20100112,040000,1.44880,1.45100,1.44710,1.44990,5810
20100112,080000,1.44990,1.45190,1.44680,1.45030,11209
20100112,120000,1.45040,1.45130,1.44620,1.45060,13331
20100112,160000,1.45070,1.45440,1.44830,1.44970,11635
20100112,200000,1.44970,1.44970,1.44820,1.44930,4656
20100113,000000,1.44920,1.44920,1.44560,1.44740,6371
20100113,040000,1.44730,1.45030,1.44650,1.45020,5770
20100113,080000,1.45020,1.45200,1.44630,1.45140,11224
20100113,120000,1.45150,1.45780,1.45130,1.45500,13148
20100113,160000,1.45510,1.45520,1.44730,1.45050,13548
20100113,200000,1.45030,1.45140,1.44960,1.44990,5192
20100114,000000,1.44990,1.45460,1.44980,1.45440,6078
20100114,040000,1.45450,1.45540,1.45280,1.45410,5590
20100114,080000,1.45400,1.45530,1.44950,1.45050,10318
20100114,120000,1.45040,1.45180,1.44640,1.44720,13240
20100114,160000,1.44720,1.45190,1.44480,1.45100,12502
20100114,200000,1.45100,1.45130,1.44920,1.44980,4558
20100115,000000,1.44970,1.45090,1.44090,1.44260,7814
20100115,040000,1.44260,1.44430,1.44060,1.44260,7522
