<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120913,000000,33.218,34.790,32.660,34.563,33823
20120914,000000,34.605,34.903,34.269,34.614,33710
20120917,000000,34.465,34.830,33.767,34.134,24247
20120918,000000,34.246,35.035,33.949,34.779,28596
20120919,000000,34.729,34.945,34.260,34.479,26026
20120920,000000,34.498,34.720,34.064,34.561,28412
20120921,000000,34.561,35.158,34.312,34.486,31538
20120924,000000,34.376,34.520,33.537,33.936,28923
20120925,000000,33.941,34.461,33.645,33.736,25392
20120926,000000,33.732,34.028,33.316,33.946,25764
20120927,000000,33.929,34.724,33.836,34.608,25713
20120928,000000,34.615,34.850,34.261,34.451,26792
20121001,000000,34.399,35.358,34.149,34.629,26800
20121002,000000,34.655,35.034,34.373,34.591,22609
20121003,000000,34.558,34.855,34.445,34.597,22179
20121004,000000,34.575,35.089,34.575,34.955,19085
20121005,000000,34.965,35.090,34.189,34.493,18562
20121008,000000,34.462,34.540,33.689,33.966,19089
20121009,000000,33.961,34.200,33.530,33.871,19895
20121010,000000,33.858,34.123,33.697,33.955,19194
20121011,000000,33.941,34.311,33.766,33.979,19509
20121012,000000,34.049,34.106,33.420,33.453,19185
20121015,000000,33.302,33.417,32.524,32.677,22737
20121016,000000,32.680,33.018,32.611,32.928,16204
20121017,000000,32.917,33.237,32.840,33.179,15562
20121018,000000,33.171,33.267,32.669,32.772,15857
20121019,000000,32.750,32.868,31.909,32.055,20377
20121022,000000,31.920,32.424,31.686,32.405,17700
20121023,000000,32.399,32.452,31.542,31.646,20554
20121024,000000,31.660,32.016,31.501,31.725,19649
20121025,000000,31.714,32.225,31.704,32.092,18122
20121026,000000,32.070,32.328,31.579,32.060,19620
20121029,000000,31.995,32.182,31.653,31.772,11632
20121030,000000,31.739,32.108,31.686,31.790,11893
20121031,000000,31.832,32.396,31.803,32.230,19404
20121101,000000,32.245,32.646,32.158,32.268,17352
20121102,000000,32.293,32.330,30.788,30.888,21274
20121105,000000,30.822,31.217,30.640,31.162,18366
20121106,000000,31.176,32.240,31.050,31.974,18975
20121107,000000,31.970,32.379,31.201,31.791,29190
20121108,000000,31.820,32.414,31.622,32.311,22102
20121109,000000,32.301,32.761,32.046,32.573,22011
20121112,000000,32.581,32.726,32.179,32.372,17169
20121113,000000,32.389,32.815,32.108,32.451,20823
20121114,000000,32.470,32.916,32.355,32.668,19676
20121115,000000,32.696,32.761,32.146,32.573,20003
20121116,000000,32.590,32.680,32.011,32.293,19215
20121119,000000,32.298,33.197,32.292,33.068,16716
20121120,000000,33.065,33.234,32.851,33.144,16332
20121121,000000,33.156,33.375,32.825,33.341,15142
20121122,000000,33.344,33.426,33.257,33.312,7293
20121123,000000,33.321,34.136,33.230,34.075,14301
20121126,000000,33.993,34.205,33.869,34.149,16874
20121127,000000,34.156,34.256,33.896,34.027,17404
20121128,000000,33.997,34.031,32.894,33.739,21594
20121129,000000,33.729,34.383,33.517,34.220,19309
20121130,000000,34.215,34.323,33.124,33.380,19674
20121203,000000,33.370,33.840,33.370,33.618,4150
20121204,000000,33.627,33.652,32.662,32.883,20965
20121205,000000,32.841,33.210,32.504,32.862,18178
20121206,000000,32.861,33.230,32.521,32.980,20083
20121207,000000,32.983,33.239,32.600,33.043,19763
20121210,000000,32.997,33.399,32.997,33.234,14273
20121211,000000,33.228,33.249,32.747,32.958,14187
20121212,000000,32.968,33.770,32.904,33.435,18094
20121213,000000,33.420,33.420,32.200,32.510,22517
20121214,000000,32.526,32.704,32.165,32.245,16266
20121217,000000,32.298,32.385,31.997,32.255,14946
20121218,000000,32.257,32.511,31.328,31.616,17960
20121219,000000,31.629,31.778,30.952,30.956,19251
20121220,000000,30.976,31.204,29.583,29.901,21789
20121221,000000,29.906,30.257,29.603,29.981,18821
20121224,000000,29.960,30.329,29.947,30.034,5914
20121226,000000,29.929,30.197,29.818,30.006,6667
20121227,000000,29.983,30.473,29.675,30.137,12612
20121228,000000,30.094,30.309,29.856,29.984,11262
20121231,000000,29.930,30.240,29.875,29.985,5991
20130102,000000,30.294,31.476,30.166,31.062,18906
20130103,000000,30.958,31.167,29.971,30.137,19337
20130104,000000,30.044,30.258,29.205,30.189,29482
20130107,000000,30.209,30.432,29.839,30.077,19933
20130108,000000,30.145,30.538,30.057,30.352,19324
20130109,000000,30.368,30.556,30.044,30.325,18776
20130110,000000,30.337,30.919,30.226,30.820,18853
20130111,000000,30.827,30.896,30.144,30.434,20322
20130114,000000,30.402,31.144,30.359,31.025,18974
20130115,000000,31.023,31.552,30.939,31.328,23381
20130116,000000,31.379,31.543,31.068,31.455,18348
20130117,000000,31.461,31.902,31.028,31.688,22033
20130118,000000,31.703,32.116,31.641,31.826,18803
